Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber
genesis 5,axe,mango,Pikachu_Blue,Fox_Red,NA,NA,Pokemon Stadium,P1:Pikachu_Blue,2
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
283,48,37,NA,NA,4,4,NA,NA,NA
284,48,37,NA,NA,4,4,NA,NA,NA
285,48,37,NA,NA,4,4,NA,NA,NA
286,48,37,NA,NA,4,4,NA,NA,NA
287,48,37,NA,NA,4,4,NA,NA,NA
288,48,37,NA,NA,4,4,NA,NA,NA
289,48,37,NA,NA,4,4,NA,NA,NA
290,48,37,NA,NA,4,4,NA,NA,NA
291,48,37,NA,NA,4,4,NA,NA,NA
292,48,37,NA,NA,4,4,NA,NA,NA
293,48,37,NA,NA,4,4,NA,NA,NA
294,48,37,NA,NA,4,4,NA,NA,NA
295,48,37,NA,NA,4,4,NA,NA,NA
296,48,37,NA,NA,4,4,NA,NA,NA
297,48,37,NA,NA,4,4,NA,NA,NA
298,48,37,NA,NA,4,4,NA,NA,NA
299,48,37,NA,NA,4,4,NA,NA,NA
300,48,37,NA,NA,4,4,NA,NA,NA
301,48,37,NA,NA,4,4,NA,NA,NA
302,48,37,NA,NA,4,4,NA,NA,NA
303,48,37,NA,NA,4,4,NA,NA,NA
304,48,37,NA,NA,4,4,NA,NA,NA
305,48,37,NA,NA,4,4,NA,NA,NA
306,48,37,NA,NA,4,4,NA,NA,NA
307,48,37,NA,NA,4,4,NA,NA,NA
308,48,37,NA,NA,4,4,NA,NA,NA
309,48,37,NA,NA,4,4,NA,NA,NA
310,48,37,NA,NA,4,4,NA,NA,NA
311,48,37,NA,NA,4,4,NA,NA,NA
312,48,37,NA,NA,4,4,NA,NA,NA
313,48,37,NA,NA,4,4,NA,NA,NA
314,48,37,NA,NA,4,4,NA,NA,NA
315,48,37,NA,NA,4,4,NA,NA,NA
316,48,37,NA,NA,4,4,NA,NA,NA
317,48,37,NA,NA,4,4,NA,NA,NA
318,48,37,NA,NA,4,4,NA,NA,NA
319,48,37,NA,NA,4,4,NA,NA,NA
320,48,37,NA,NA,4,4,NA,NA,NA
321,48,37,NA,NA,4,4,NA,NA,NA
322,48,37,NA,NA,4,4,NA,NA,NA
323,48,37,NA,NA,4,4,NA,NA,NA
324,48,37,NA,NA,4,4,NA,NA,NA
325,48,37,NA,NA,4,4,NA,NA,NA
326,48,37,NA,NA,4,4,NA,NA,NA
327,56,37,NA,NA,4,4,NA,NA,NA
328,56,37,NA,NA,4,4,NA,NA,NA
329,56,37,NA,NA,4,4,NA,NA,NA
330,56,37,NA,NA,4,4,NA,NA,NA
331,56,37,NA,NA,4,4,NA,NA,NA
332,56,37,NA,NA,4,4,NA,NA,NA
333,56,37,NA,NA,4,4,NA,NA,NA
334,56,37,NA,NA,4,4,NA,NA,NA
335,56,37,NA,NA,4,4,NA,NA,NA
336,56,37,NA,NA,4,4,NA,NA,NA
337,56,37,NA,NA,4,4,NA,NA,NA
338,56,37,NA,NA,4,4,NA,NA,NA
339,56,37,NA,NA,4,4,NA,NA,NA
340,56,37,NA,NA,4,4,NA,NA,NA
341,56,37,NA,NA,4,4,NA,NA,NA
342,56,37,NA,NA,4,4,NA,NA,NA
343,56,37,NA,NA,4,4,NA,NA,NA
344,56,37,NA,NA,4,4,NA,NA,NA
345,56,37,NA,NA,4,4,NA,NA,NA
346,56,37,NA,NA,4,4,NA,NA,NA
347,56,37,NA,NA,4,4,NA,NA,NA
348,56,37,NA,NA,4,4,NA,NA,NA
349,56,37,NA,NA,4,4,NA,NA,NA
350,56,37,NA,NA,4,4,NA,NA,NA
351,56,37,NA,NA,4,4,NA,NA,NA
352,56,37,NA,NA,4,4,NA,NA,NA
353,56,37,NA,NA,4,4,NA,NA,NA
354,56,37,NA,NA,4,4,NA,NA,NA
355,56,37,NA,NA,4,4,NA,NA,NA
356,56,37,NA,NA,4,4,NA,NA,NA
357,56,37,NA,NA,4,4,NA,NA,NA
358,56,37,NA,NA,4,4,NA,NA,NA
359,56,37,NA,NA,4,4,NA,NA,NA
