Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber,GameType(Optional)
genesis 5,plup,hbox,NA,Fox_Green,NA,JigglyPuff_Green,Fountain of Dreams,P4:JigglyPuff_Green,1,WF
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
260,NA,0,NA,32,NA,4,NA,4,NA
261,NA,0,NA,32,NA,4,NA,4,NA
262,NA,0,NA,32,NA,4,NA,4,NA
263,NA,0,NA,32,NA,4,NA,4,NA
264,NA,0,NA,32,NA,4,NA,4,NA
265,NA,0,NA,32,NA,4,NA,4,NA
266,NA,0,NA,32,NA,4,NA,4,NA
267,NA,0,NA,32,NA,4,NA,4,NA
268,NA,0,NA,32,NA,4,NA,4,NA
269,NA,0,NA,32,NA,4,NA,4,NA
270,NA,0,NA,32,NA,4,NA,4,NA
271,NA,0,NA,32,NA,4,NA,4,NA
272,NA,0,NA,32,NA,4,NA,4,NA
273,NA,0,NA,32,NA,4,NA,4,NA
274,NA,0,NA,32,NA,4,NA,4,NA
275,NA,0,NA,32,NA,4,NA,4,NA
276,NA,0,NA,32,NA,4,NA,4,NA
277,NA,0,NA,32,NA,4,NA,4,NA
278,NA,0,NA,32,NA,4,NA,4,NA
279,NA,0,NA,32,NA,4,NA,4,NA
280,NA,0,NA,32,NA,4,NA,4,NA
281,NA,0,NA,32,NA,4,NA,4,NA
282,NA,0,NA,32,NA,4,NA,4,NA
283,NA,0,NA,32,NA,4,NA,4,NA
284,NA,0,NA,32,NA,4,NA,4,NA
285,NA,0,NA,32,NA,4,NA,4,NA
286,NA,0,NA,32,NA,4,NA,4,NA
287,NA,0,NA,32,NA,4,NA,4,NA
288,NA,0,NA,32,NA,4,NA,4,NA
289,NA,0,NA,32,NA,4,NA,4,NA
290,NA,0,NA,32,NA,4,NA,4,NA
291,NA,0,NA,32,NA,4,NA,4,NA
292,NA,0,NA,32,NA,4,NA,4,NA
293,NA,0,NA,32,NA,4,NA,4,NA
294,NA,0,NA,32,NA,4,NA,4,NA
295,NA,0,NA,32,NA,4,NA,4,NA
296,NA,0,NA,32,NA,4,NA,4,NA
297,NA,0,NA,32,NA,4,NA,4,NA
298,NA,0,NA,32,NA,4,NA,4,NA
299,NA,0,NA,32,NA,4,NA,4,NA
300,NA,0,NA,32,NA,4,NA,4,NA
301,NA,0,NA,32,NA,4,NA,4,NA
302,NA,0,NA,32,NA,4,NA,4,NA
303,NA,0,NA,32,NA,4,NA,4,NA
304,NA,0,NA,35,NA,4,NA,4,NA
305,NA,0,NA,35,NA,4,NA,4,NA
306,NA,0,NA,35,NA,4,NA,4,NA
307,NA,0,NA,35,NA,4,NA,4,NA
308,NA,0,NA,35,NA,4,NA,4,NA
309,NA,0,NA,35,NA,4,NA,4,NA
310,NA,0,NA,35,NA,4,NA,4,NA
311,NA,0,NA,35,NA,4,NA,4,NA
312,NA,0,NA,35,NA,4,NA,4,NA
313,NA,0,NA,35,NA,4,NA,4,NA
314,NA,0,NA,35,NA,4,NA,4,NA
315,NA,0,NA,35,NA,4,NA,4,NA
316,NA,0,NA,35,NA,4,NA,4,NA
317,NA,0,NA,35,NA,4,NA,4,NA
318,NA,0,NA,35,NA,4,NA,4,NA
319,NA,0,NA,35,NA,4,NA,4,NA
320,NA,0,NA,35,NA,4,NA,4,NA
321,NA,0,NA,35,NA,4,NA,4,NA
322,NA,0,NA,35,NA,4,NA,4,NA
323,NA,0,NA,35,NA,4,NA,4,NA
324,NA,0,NA,35,NA,4,NA,4,NA
325,NA,0,NA,35,NA,4,NA,4,NA
326,NA,0,NA,35,NA,4,NA,4,NA
327,NA,0,NA,35,NA,4,NA,4,NA
328,NA,0,NA,35,NA,4,NA,4,NA
329,NA,0,NA,35,NA,4,NA,4,NA
330,NA,0,NA,35,NA,4,NA,4,NA
331,NA,0,NA,35,NA,4,NA,4,NA
332,NA,0,NA,35,NA,4,NA,4,NA
333,NA,0,NA,35,NA,4,NA,4,NA
334,NA,0,NA,35,NA,4,NA,4,NA
335,NA,0,NA,35,NA,4,NA,4,NA
336,NA,0,NA,35,NA,4,NA,4,NA
337,NA,0,NA,35,NA,4,NA,4,NA
338,NA,0,NA,35,NA,4,NA,4,NA
339,NA,0,NA,35,NA,4,NA,4,NA
340,NA,0,NA,35,NA,4,NA,4,NA
341,NA,0,NA,35,NA,4,NA,4,NA
342,NA,0,NA,35,NA,4,NA,4,NA
343,NA,0,NA,35,NA,4,NA,4,NA
344,NA,0,NA,35,NA,4,NA,4,NA
345,NA,0,NA,35,NA,4,NA,4,NA
346,NA,0,NA,35,NA,4,NA,4,NA
347,NA,0,NA,35,NA,4,NA,4,NA
348,NA,0,NA,35,NA,4,NA,4,NA
349,NA,0,NA,35,NA,4,NA,4,NA
350,NA,0,NA,35,NA,4,NA,4,NA
351,NA,0,NA,35,NA,4,NA,4,NA
352,NA,0,NA,35,NA,4,NA,4,NA
353,NA,0,NA,35,NA,4,NA,4,NA
354,NA,0,NA,35,NA,4,NA,4,NA
355,NA,0,NA,35,NA,4,NA,4,NA
356,NA,0,NA,35,NA,4,NA,4,NA
357,NA,0,NA,35,NA,4,NA,4,NA
358,NA,0,NA,35,NA,4,NA,4,NA
359,NA,0,NA,35,NA,4,NA,4,NA
360,NA,0,NA,35,NA,4,NA,4,NA
361,NA,0,NA,35,NA,4,NA,4,NA
362,NA,0,NA,35,NA,4,NA,4,NA
363,NA,0,NA,35,NA,4,NA,4,NA
364,NA,0,NA,35,NA,4,NA,4,NA
