Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber
genesis 5,hugs,lucky,Samus_Pink,Fox_Red,NA,NA,Dreamland,P2:Fox_Red,1
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
255,23,15,NA,NA,4,4,NA,NA,NA
256,23,15,NA,NA,4,4,NA,NA,NA
257,23,15,NA,NA,4,4,NA,NA,NA
258,23,15,NA,NA,4,4,NA,NA,NA
259,23,15,NA,NA,4,4,NA,NA,NA
260,23,15,NA,NA,4,4,NA,NA,NA
261,23,15,NA,NA,4,4,NA,NA,NA
262,23,15,NA,NA,4,4,NA,NA,NA
263,23,15,NA,NA,4,4,NA,NA,NA
264,23,15,NA,NA,4,4,NA,NA,NA
265,23,15,NA,NA,4,4,NA,NA,NA
266,23,15,NA,NA,4,4,NA,NA,NA
267,23,15,NA,NA,4,4,NA,NA,NA
268,23,15,NA,NA,4,4,NA,NA,NA
269,23,15,NA,NA,4,4,NA,NA,NA
270,23,15,NA,NA,4,4,NA,NA,NA
271,23,15,NA,NA,4,4,NA,NA,NA
272,30,15,NA,NA,4,4,NA,NA,NA
273,30,15,NA,NA,4,4,NA,NA,NA
274,30,15,NA,NA,4,4,NA,NA,NA
275,30,15,NA,NA,4,4,NA,NA,NA
276,30,15,NA,NA,4,4,NA,NA,NA
277,30,15,NA,NA,4,4,NA,NA,NA
278,30,15,NA,NA,4,4,NA,NA,NA
279,30,15,NA,NA,4,4,NA,NA,NA
280,30,15,NA,NA,4,4,NA,NA,NA
281,30,15,NA,NA,4,4,NA,NA,NA
282,30,15,NA,NA,4,4,NA,NA,NA
283,30,15,NA,NA,4,4,NA,NA,NA
284,30,15,NA,NA,4,4,NA,NA,NA
285,30,15,NA,NA,4,4,NA,NA,NA
286,30,15,NA,NA,4,4,NA,NA,NA
287,30,15,NA,NA,4,4,NA,NA,NA
288,30,15,NA,NA,4,4,NA,NA,NA
289,30,15,NA,NA,4,4,NA,NA,NA
290,30,15,NA,NA,4,4,NA,NA,NA
291,30,15,NA,NA,4,4,NA,NA,NA
292,30,15,NA,NA,4,4,NA,NA,NA
293,30,15,NA,NA,4,4,NA,NA,NA
294,30,15,NA,NA,4,4,NA,NA,NA
295,30,15,NA,NA,4,4,NA,NA,NA
296,30,15,NA,NA,4,4,NA,NA,NA
297,47,15,NA,NA,4,4,NA,NA,NA
298,47,15,NA,NA,4,4,NA,NA,NA
299,47,15,NA,NA,4,4,NA,NA,NA
300,47,15,NA,NA,4,4,NA,NA,NA
301,47,15,NA,NA,4,4,NA,NA,NA
302,47,15,NA,NA,4,4,NA,NA,NA
303,47,15,NA,NA,4,4,NA,NA,NA
304,47,15,NA,NA,4,4,NA,NA,NA
305,47,15,NA,NA,4,4,NA,NA,NA
306,47,15,NA,NA,4,4,NA,NA,NA
307,47,15,NA,NA,4,4,NA,NA,NA
308,47,15,NA,NA,4,4,NA,NA,NA
309,47,15,NA,NA,4,4,NA,NA,NA
310,47,15,NA,NA,4,4,NA,NA,NA
311,47,15,NA,NA,4,4,NA,NA,NA
312,47,15,NA,NA,4,4,NA,NA,NA
313,47,15,NA,NA,4,4,NA,NA,NA
314,47,15,NA,NA,4,4,NA,NA,NA
315,47,15,NA,NA,4,4,NA,NA,NA
316,47,15,NA,NA,4,4,NA,NA,NA
317,47,15,NA,NA,4,4,NA,NA,NA
318,47,15,NA,NA,4,4,NA,NA,NA
319,47,15,NA,NA,4,4,NA,NA,NA
320,47,15,NA,NA,4,4,NA,NA,NA
321,47,15,NA,NA,4,4,NA,NA,NA
322,47,15,NA,NA,4,4,NA,NA,NA
323,47,15,NA,NA,4,4,NA,NA,NA
324,47,15,NA,NA,4,4,NA,NA,NA
325,47,15,NA,NA,4,4,NA,NA,NA
326,47,15,NA,NA,4,4,NA,NA,NA
327,47,15,NA,NA,4,4,NA,NA,NA
328,47,15,NA,NA,4,4,NA,NA,NA
329,47,15,NA,NA,4,4,NA,NA,NA
330,47,15,NA,NA,4,4,NA,NA,NA
331,47,15,NA,NA,4,4,NA,NA,NA
332,47,15,NA,NA,4,4,NA,NA,NA
333,47,15,NA,NA,4,4,NA,NA,NA
334,47,15,NA,NA,4,4,NA,NA,NA
335,47,15,NA,NA,4,4,NA,NA,NA
336,47,15,NA,NA,4,4,NA,NA,NA
337,47,15,NA,NA,4,4,NA,NA,NA
338,47,15,NA,NA,4,4,NA,NA,NA
339,47,15,NA,NA,4,4,NA,NA,NA
340,47,15,NA,NA,4,4,NA,NA,NA
341,47,15,NA,NA,4,4,NA,NA,NA
342,47,15,NA,NA,4,4,NA,NA,NA
343,47,15,NA,NA,4,4,NA,NA,NA
344,47,15,NA,NA,4,4,NA,NA,NA
345,47,15,NA,NA,4,4,NA,NA,NA
346,47,15,NA,NA,4,4,NA,NA,NA
347,47,15,NA,NA,4,4,NA,NA,NA
348,47,15,NA,NA,4,4,NA,NA,NA
349,47,15,NA,NA,4,4,NA,NA,NA
350,47,15,NA,NA,4,4,NA,NA,NA
351,47,15,NA,NA,4,4,NA,NA,NA
352,47,15,NA,NA,4,4,NA,NA,NA
353,47,15,NA,NA,4,4,NA,NA,NA
354,47,15,NA,NA,4,4,NA,NA,NA
355,47,15,NA,NA,4,4,NA,NA,NA
356,62,15,NA,NA,4,4,NA,NA,NA
357,62,15,NA,NA,4,4,NA,NA,NA
358,62,15,NA,NA,4,4,NA,NA,NA
359,62,15,NA,NA,4,4,NA,NA,NA
360,62,15,NA,NA,4,4,NA,NA,NA
361,62,15,NA,NA,4,4,NA,NA,NA
362,62,15,NA,NA,4,4,NA,NA,NA
363,62,15,NA,NA,4,4,NA,NA,NA
364,62,15,NA,NA,4,4,NA,NA,NA
365,62,15,NA,NA,4,4,NA,NA,NA
366,62,15,NA,NA,4,4,NA,NA,NA
367,62,15,NA,NA,4,4,NA,NA,NA
368,62,15,NA,NA,4,4,NA,NA,NA
369,62,15,NA,NA,4,4,NA,NA,NA
370,62,15,NA,NA,4,4,NA,NA,NA
371,62,15,NA,NA,4,4,NA,NA,NA
372,62,15,NA,NA,4,4,NA,NA,NA
373,62,15,NA,NA,4,4,NA,NA,NA
374,62,15,NA,NA,4,4,NA,NA,NA
375,62,15,NA,NA,4,4,NA,NA,NA
376,62,15,NA,NA,4,4,NA,NA,NA
377,62,15,NA,NA,4,4,NA,NA,NA
378,62,15,NA,NA,4,4,NA,NA,NA
379,62,15,NA,NA,4,4,NA,NA,NA
380,62,15,NA,NA,4,4,NA,NA,NA
381,62,15,NA,NA,4,4,NA,NA,NA
382,62,15,NA,NA,4,4,NA,NA,NA
383,62,15,NA,NA,4,4,NA,NA,NA
384,62,15,NA,NA,4,4,NA,NA,NA
385,62,15,NA,NA,4,4,NA,NA,NA
386,62,15,NA,NA,4,4,NA,NA,NA
387,62,15,NA,NA,4,4,NA,NA,NA
388,62,15,NA,NA,4,4,NA,NA,NA
389,62,15,NA,NA,4,4,NA,NA,NA
390,62,15,NA,NA,4,4,NA,NA,NA
